"date","open","high","low","close","stock"
2018-12-17,187500,191500,182500,190000,"아모레퍼시픽"
2018-12-18,188500,200500,188000,200500,"아모레퍼시픽"
2018-12-19,201000,206500,199500,206000,"아모레퍼시픽"
2018-12-20,206000,208500,198500,206000,"아모레퍼시픽"
2018-12-21,206500,206500,2e+05,204000,"아모레퍼시픽"
2018-12-24,202500,202500,199000,200500,"아모레퍼시픽"
2018-12-26,194000,201500,194000,2e+05,"아모레퍼시픽"
2018-12-27,201000,210500,201000,209500,"아모레퍼시픽"
2018-12-28,209500,215500,208500,209500,"아모레퍼시픽"
2018-12-03,111500,116000,111000,115000,"S-Oil"
2018-12-04,115000,115000,111500,113500,"S-Oil"
2018-12-05,112500,113000,111000,112000,"S-Oil"
2018-12-06,112000,112000,108000,109000,"S-Oil"
2018-12-07,108500,109500,106000,108500,"S-Oil"
2018-12-10,109000,110000,106000,106500,"S-Oil"
2018-12-11,106500,108500,105000,105500,"S-Oil"
2018-12-12,107000,110500,107000,109000,"S-Oil"
2018-12-13,109500,111000,108500,109500,"S-Oil"
2018-12-14,110000,112000,109000,110500,"S-Oil"
2018-12-17,109500,110000,107000,107000,"S-Oil"
2018-12-18,106000,107000,105000,106000,"S-Oil"
2018-12-19,104000,106000,103500,105000,"S-Oil"
2018-12-20,105000,105000,103500,104500,"S-Oil"
2018-12-21,104000,104500,103000,104000,"S-Oil"
2018-12-24,104500,104500,101000,102000,"S-Oil"
2018-12-26,1e+05,104000,99900,103500,"S-Oil"
2018-12-27,102500,103500,100500,101000,"S-Oil"
2018-12-28,1e+05,100500,97200,97700,"S-Oil"
2018-12-03,34450,35000,34150,35000,"삼성전자우"
2018-12-04,34900,34900,33850,34600,"삼성전자우"
2018-12-05,34150,34150,33650,33950,"삼성전자우"
2018-12-06,33850,33850,33050,33050,"삼성전자우"
2018-12-07,33550,34000,33300,34000,"삼성전자우"
2018-12-10,33300,33500,32900,33150,"삼성전자우"
2018-12-11,33150,33400,32600,33200,"삼성전자우"
2018-12-12,33050,33400,32750,33100,"삼성전자우"
2018-12-13,33050,33450,33000,33450,"삼성전자우"
2018-12-14,33100,33350,31900,32300,"삼성전자우"
2018-12-17,32000,32850,31900,32350,"삼성전자우"
2018-12-18,31500,32200,31500,32200,"삼성전자우"
2018-12-19,32000,32350,32000,32100,"삼성전자우"
2018-12-20,31400,31800,31150,31150,"삼성전자우"
2018-12-21,31100,31450,30650,31450,"삼성전자우"
2018-12-24,31100,31250,30800,31000,"삼성전자우"
2018-12-26,30600,31100,30550,31000,"삼성전자우"
2018-12-27,31450,31650,30550,31400,"삼성전자우"
2018-12-28,31450,31800,31250,31750,"삼성전자우"
2018-12-03,278000,293500,278000,288500,"롯데케미칼"
2018-12-04,288500,290000,282500,285500,"롯데케미칼"
2018-12-05,279500,285000,275000,279500,"롯데케미칼"
2018-12-06,278000,287500,277500,279500,"롯데케미칼"
2018-12-07,280500,282000,277000,278500,"롯데케미칼"
2018-12-10,273000,274500,262000,266000,"롯데케미칼"
2018-12-11,267000,271000,264500,265500,"롯데케미칼"
2018-12-12,265500,268500,263500,267000,"롯데케미칼"
2018-12-13,270500,276000,267000,273500,"롯데케미칼"
2018-12-14,275000,278500,269000,272000,"롯데케미칼"
2018-12-17,274000,275000,270500,274500,"롯데케미칼"
2018-12-18,272500,276500,268000,268500,"롯데케미칼"
2018-12-19,277500,281500,274500,281500,"롯데케미칼"
2018-12-20,277500,281000,274500,278000,"롯데케미칼"
2018-12-21,280000,286500,279000,283500,"롯데케미칼"
2018-12-24,284000,292000,280500,291500,"롯데케미칼"
2018-12-26,286500,297000,285500,295500,"롯데케미칼"
2018-12-27,291000,292000,278000,279500,"롯데케미칼"
2018-12-28,281000,283500,274000,277000,"롯데케미칼"
2018-12-03,131000,131500,125000,127000,"넷마블"
2018-12-04,126500,128000,124500,124500,"넷마블"
2018-12-05,125000,126500,123500,125500,"넷마블"
2018-12-06,119000,119500,109500,110500,"넷마블"
2018-12-07,113000,114500,111000,112500,"넷마블"
2018-12-10,109500,110000,102500,105500,"넷마블"
2018-12-11,104000,104500,1e+05,103500,"넷마블"
2018-12-12,102500,107000,102500,105500,"넷마블"
